No;BetaMC;BetaMC_1;BetaMC_2;BetaMC_3;BetaMC_4;BetaMC_5;BetaMC_6
1;12;13;19;16;8;14;39
2;23;29;72;67;3;61;66
3;29;38;111;66;13;68;68
4;36;16;28;52;63;49;75
5;44;40;104;64;53;130;83
6;21;14;28;59;29;65;79
7;40;44;16;81;35;79;82
8;42;60;57;65;40;187;82
9;24;16;18;87;19;32;75
10;30;37;41;43;8;50;54
11;20;20;45;26;25;49;50
12;8;11;27;7;0;9;27
13;28;29;112;64;35;65;69
14;14;14;57;10;0;11;43
15;27;38;167;28;13;196;84
16;46;27;113;62;52;173;85
17;29;32;122;51;19;79;69
18;42;56;116;56;32;208;73
19;33;32;54;49;19;120;69
20;31;42;79;41;14;114;71
21;23;30;76;22;20;87;67
22;18;18;62;39;6;10;39
23;29;41;98;41;12;101;66
24;21;23;52;33;4;59;78
25;45;111;222;64;32;274;70
26;25;26;63;39;23;160;89
27;18;16;24;4;31;39;63
28;33;38;154;55;34;84;63
29;21;19;40;7;5;60;84
30;24;16;18;25;63;31;63
31;15;13;29;23;15;62;85
32;15;23;41;51;4;24;57
33;36;32;69;65;16;122;75
34;38;21;38;28;48;92;91
35;32;28;90;70;36;117;61
36;27;22;52;10;27;114;86
37;16;20;80;46;10;19;40
38;26;32;41;13;6;64;56
39;48;26;81;70;58;155;100
40;26;40;81;42;10;70;68
41;14;19;87;15;5;72;79
42;12;17;26;9;6;15;59
43;29;29;71;74;17;85;76
44;34;27;20;0;29;79;57
45;28;26;70;68;27;84;73
46;39;36;59;57;67;172;83
